DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	PHIX	RHOMAT	MBVI	MPHI
4000	-29.813	92.048	10.83	10	0.717	0.748	0.748	2.208	0.43716	40	0.3674954	2.851766	-999.25	-999.25
4000.5	-28.6983	89.0188	11.1512	10	0.7205	0.7508	0.7503	2.206	0.4209	40	0.3648254	2.841254	-999.25	-999.25
4001	-28.125	87.828	10.947	10	0.718	0.755	0.752	2.206	0.4202	40	0.3648157	2.841227	-999.25	-999.25
4001.5	-27.6047	86.157	11.1852	10	0.7347	0.7608	0.7557	2.2105	0.425797	40	0.3647172	2.84804	-999.25	-999.25
4002	-27.188	87.102	11.396	10	0.733	0.765	0.759	2.218	0.43353	40	0.3638706	2.857504	-999.25	-999.25
4002.5	-26.4692	86.684	11.3663	10	0.7482	0.7703	0.7613	2.22	0.444067	40	0.3656498	2.865586	-999.25	-999.25
4003	-27.25	88.234	10.923	10	0.749	0.772	0.763	2.225	0.43665	40	0.3629108	2.865844	-999.25	-999.25
4003.5	-26.5208	86.236	11.103	10	0.7558	0.7738	0.7642	2.2165	0.438613	40	0.3640374	2.855606	-999.25	-999.25
4004	-26.625	87.021	11.078	10	0.735	0.773	0.765	2.224	0.46728	40	0.3654582	2.871357	-999.25	-999.25
4004.5	-27.1355	85.6867	10.94	10	0.7277	0.772	0.7672	2.2268	0.476572	40	0.3559817	2.84964	-999.25	-999.25
4005	-27.813	85.97	10.975	10	0.726	0.772	0.768	2.241	0.48663	40	0.3543791	2.867291	-999.25	-999.25
4005.5	-28.625	86.454	10.9912	10	0.7472	0.7733	0.7683	2.243	0.491972	40	0.3541542	2.869772	-999.25	-999.25
4006	-28	88.194	10.622	10	0.753	0.775	0.77	2.243	0.48738	40	0.354222	2.869958	-999.25	-999.25
4006.5	-27.8855	86.3415	10.536	10	0.7568	0.7785	0.7747	2.235	0.464058	40	0.3556802	2.861548	-999.25	-999.25
4007	-27.938	85.024	10.621	10	0.756	0.781	0.778	2.235	0.4213	40	0.3585601	2.869456	-999.25	-999.25
4007.5	-28.0422	86.07	10.8557	10	0.756	0.7868	0.784	2.2395	0.417227	40	0.3583272	2.875827	-999.25	-999.25
4008	-28.563	90.465	10.709	10	0.766	0.791	0.789	2.242	0.41996	40	0.3581543	2.879244	-999.25	-999.25
4008.5	-27.5938	90.0973	10.658	10	0.7738	0.7993	0.7973	2.2492	0.446342	40	0.3539988	2.878944	-999.25	-999.25
4009	-27.438	93.429	10.663	10	0.778	0.806	0.804	2.255	0.453	40	0.3536007	2.886821	-999.25	-999.25
4009.5	-26.5108	93.0287	10.6607	10	0.7922	0.8165	0.8135	2.2568	0.427683	40	0.349787	2.879109	-999.25	-999.25
4010	-26.25	91.567	10.689	10	0.798	0.824	0.821	2.261	0.41325	40	0.349551	2.884921	-999.25	-999.25
4010.5	-24.5625	86.2712	10.6843	10	0.8502	0.8342	0.8292	2.257	0.411462	40	0.3530042	2.888265	-999.25	-999.25
4011	-23	82.217	10.681	10	0.866	0.84	0.835	2.262	0.42922	40	0.3494153	2.886086	-999.25	-999.25
4011.5	-23.7605	85.9988	10.6947	10	0.8547	0.8445	0.8443	2.2542	0.445718	40	0.3536074	2.885602	-999.25	-999.25
4012	-24.438	82.208	10.698	10	0.828	0.847	0.851	2.25	0.46851	40	0.3537746	2.879565	-999.25	-999.25
4012.5	-26.3233	84.2853	10.804	10	0.8	0.8517	0.8557	2.2275	0.459128	40	0.3571571	2.853928	-999.25	-999.25
4013	-27	82.557	10.929	10	0.84	0.855	0.854	2.215	0.43892	40	0.3642496	2.853833	-999.25	-999.25
4013.5	-27.0525	83.6038	10.8948	10	0.8702	0.8563	0.848	2.2012	0.381552	40	0.3558018	2.809412	-999.25	-999.25
4014	-27	81.813	10.609	10	0.881	0.853	0.843	2.217	0.37091	40	0.340921	2.794789	-999.25	-999.25
4014.5	-27.5625	81.5763	10.6063	10	0.8072	0.841	0.84	2.2387	0.390782	40	0.3551801	2.865919	-999.25	-999.25
4015	-27.875	80.548	10.758	10	0.778	0.831	0.84	2.257	0.43144	40	0.3497162	2.879223	-999.25	-999.25
4015.5	-27.4167	82.6665	10.7313	10	0.7773	0.8212	0.8355	2.2447	0.439792	40	0.3544243	2.873146	-999.25	-999.25
